SlNo,State_Code,State,District_Key,District,Population
410,MN,Manipur,MN_Jiribam,Jiribam,43818
411,MN,Manipur,MN_Kakching,Kakching,135481
412,MN,Manipur,MN_Kamjong,Kamjong,45616
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,
414,MN,Manipur,MN_Noney,Noney,
415,MN,Manipur,MN_Pherzawl,Pherzawl,47250
416,MN,Manipur,MN_Senapati,Senapati,354772
417,MN,Manipur,MN_Tamenglong,Tamenglong,140143
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,
419,MN,Manipur,MN_Thoubal,Thoubal,420517
420,MN,Manipur,MN_Ukhrul,Ukhrul,183115
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,728677
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,749521
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,844979
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,1701156
322,MP,Madhya Pradesh,MP_Barwani,Barwani,1385659
323,MP,Madhya Pradesh,MP_Betul,Betul,1575247
324,MP,Madhya Pradesh,MP_Bhind,Bhind,1703562
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,2368145
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,756993
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,1762857
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,2090306
329,MP,Madhya Pradesh,MP_Damoh,Damoh,1263703
330,MP,Madhya Pradesh,MP_Datia,Datia,786375
331,MP,Madhya Pradesh,MP_Dewas,Dewas,1563107
332,MP,Madhya Pradesh,MP_Dhar,Dhar,2184672
333,MP,Madhya Pradesh,MP_Dindori,Dindori,704218
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,1309443
335,MP,Madhya Pradesh,MP_Guna,Guna,1240938
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,2030543
337,MP,Madhya Pradesh,MP_Harda,Harda,570302
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,1240975
339,MP,Madhya Pradesh,MP_Indore,Indore,3272335
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,2460714
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,1024091
342,MP,Madhya Pradesh,MP_Katni,Katni,1291684
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1053522
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,1339832
345,MP,Madhya Pradesh,MP_Morena,Morena,1965137
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,1092141
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,825958
348,MP,Madhya Pradesh,MP_Niwari,Niwari,
349,MP,Madhya Pradesh,MP_Panna,Panna,1016028
350,MP,Madhya Pradesh,MP_Raisen,Raisen,1331699
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,1546541
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,1454483
353,MP,Madhya Pradesh,MP_Rewa,Rewa,2363744
354,MP,Madhya Pradesh,MP_Sagar,Sagar,2378295
355,MP,Madhya Pradesh,MP_Satna,Satna,2228619
356,MP,Madhya Pradesh,MP_Sehore,Sehore,1311008
357,MP,Madhya Pradesh,MP_Seoni,Seoni,1378876
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,1064989
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,1512353
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,687952
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,1725818
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,1126515
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,1178132
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,1444920
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,1986864
366,MP,Madhya Pradesh,MP_Umaria,Umaria,643579
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,1458212
368,MP,Madhya Pradesh,MP_Khargone,Khargone,1872413
432,MZ,Mizoram,MZ_Aizawl,Aizawl,404054
433,MZ,Mizoram,MZ_Champhai,Champhai,125370
434,MZ,Mizoram,MZ_Kolasib,Kolasib,83054
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,117444
436,MZ,Mizoram,MZ_Lunglei,Lunglei,154094
437,MZ,Mizoram,MZ_Mamit,Mamit,85757
438,MZ,Mizoram,MZ_Saiha,Saiha,56366
439,MZ,Mizoram,MZ_Serchhip,Serchhip,64875
728,MZ,Mizoram,MZ_Saitual,Saitual,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,
440,NL,Nagaland,NL_Dimapur,Dimapur,379769
441,NL,Nagaland,NL_Kiphire,Kiphire,74033
442,NL,Nagaland,NL_Kohima,Kohima,270063
443,NL,Nagaland,NL_Longleng,Longleng,50593
444,NL,Nagaland,NL_Mokokchung,Mokokchung,193171
445,NL,Nagaland,NL_Mon,Mon,259604
446,NL,Nagaland,NL_Peren,Peren,163294
447,NL,Nagaland,NL_Phek,Phek,163294
448,NL,Nagaland,NL_Tuensang,Tuensang,414801
449,NL,Nagaland,NL_Wokha,Wokha,166239
450,NL,Nagaland,NL_Zunheboto,Zunheboto,141014
451,OR,Odisha,OR_Angul,Angul,1271703
452,OR,Odisha,OR_Balangir,Balangir,1648574
453,OR,Odisha,OR_Balasore,Balasore,2317419
454,OR,Odisha,OR_Bargarh,Bargarh,1478833
455,OR,Odisha,OR_Boudh,Boudh,439917
456,OR,Odisha,OR_Bhadrak,Bhadrak,1506522
457,OR,Odisha,OR_Cuttack,Cuttack,2618708
458,OR,Odisha,OR_Deogarh,Deogarh,312164
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,1192948
460,OR,Odisha,OR_Gajapati,Gajapati,575880
461,OR,Odisha,OR_Ganjam,Ganjam,3520151
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,1136604
463,OR,Odisha,OR_Jajpur,Jajpur,1826275
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,579499
465,OR,Odisha,OR_Kalahandi,Kalahandi,1573054
466,OR,Odisha,OR_Kandhamal,Kandhamal,731952
467,OR,Odisha,OR_Kendrapara,Kendrapara,1439891
468,OR,Odisha,OR_Kendujhar,Kendujhar,1802777
469,OR,Odisha,OR_Khordha,Khordha,2246341
470,OR,Odisha,OR_Koraput,Koraput,1376934
471,OR,Odisha,OR_Malkangiri,Malkangiri,612727
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,2513895
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,1218762
474,OR,Odisha,OR_Nayagarh,Nayagarh,962215
475,OR,Odisha,OR_Nuapada,Nuapada,606490
476,OR,Odisha,OR_Puri,Puri,1697983
477,OR,Odisha,OR_Rayagada,Rayagada,961959
478,OR,Odisha,OR_Sambalpur,Sambalpur,1044410
479,OR,Odisha,OR_Subarnapur,Subarnapur,652107
480,OR,Odisha,OR_Sundargarh,Sundargarh,2080664
485,PB,Punjab,PB_Amritsar,Amritsar,2490891
486,PB,Punjab,PB_Barnala,Barnala,596294
487,PB,Punjab,PB_Bathinda,Bathinda,1388859
488,PB,Punjab,PB_Faridkot,Faridkot,618008
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,599814
490,PB,Punjab,PB_Fazilka,Fazilka,1180483
491,PB,Punjab,PB_Ferozepur,Ferozepur,2026831
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,2299026
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,1582793
494,PB,Punjab,PB_Jalandhar,Jalandhar,2181753
495,PB,Punjab,PB_Kapurthala,Kapurthala,817668
496,PB,Punjab,PB_Ludhiana,Ludhiana,3487882
497,PB,Punjab,PB_Mansa,Mansa,768808
498,PB,Punjab,PB_Moga,Moga,992289
499,PB,Punjab,PB_Pathankot,Pathankot,626154
500,PB,Punjab,PB_Patiala,Patiala,2892282
501,PB,Punjab,PB_Rupnagar,Rupnagar,683349
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,986147
503,PB,Punjab,PB_Sangrur,Sangrur,1654408
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,614362
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,902702
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,1120070
481,PY,Puducherry,PY_Karaikal,Karaikal,200222
482,PY,Puducherry,PY_Mahe,Mahe,41816
483,PY,Puducherry,PY_Puducherry,Puducherry,950289
484,PY,Puducherry,PY_Yanam,Yanam,55626
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,2584913
508,RJ,Rajasthan,RJ_Alwar,Alwar,3671999
509,RJ,Rajasthan,RJ_Banswara,Banswara,1798194
510,RJ,Rajasthan,RJ_Baran,Baran,1223921
511,RJ,Rajasthan,RJ_Barmer,Barmer,2604453
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,2549121
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,2410459
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,2367745
515,RJ,Rajasthan,RJ_Bundi,Bundi,1113725
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,1544392
517,RJ,Rajasthan,RJ_Churu,Churu,2041172
518,RJ,Rajasthan,RJ_Dausa,Dausa,1637226
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,1207293
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,1388906
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,1969520
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,1779650
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,6663971
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,672008
525,RJ,Rajasthan,RJ_Jalore,Jalore,1830151
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,1411327
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,2139658
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,3685681
529,RJ,Rajasthan,RJ_Karauli,Karauli,1458459
530,RJ,Rajasthan,RJ_Kota,Kota,1950491
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,3309234
532,RJ,Rajasthan,RJ_Pali,Pali,2038533
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,868231
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,1158283
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,1338114
536,RJ,Rajasthan,RJ_Sikar,Sikar,2677737
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,1037185
538,RJ,Rajasthan,RJ_Tonk,Tonk,1421711
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,3067549
540,SK,Sikkim,SK_East Sikkim,East Sikkim,281293
541,SK,Sikkim,SK_North Sikkim,North Sikkim,43354
542,SK,Sikkim,SK_South Sikkim,South Sikkim,146742
543,SK,Sikkim,SK_West Sikkim,West Sikkim,136299
576,TG,Telangana,TG_Adilabad,Adilabad,708952
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,1304811
578,TG,Telangana,TG_Hyderabad,Hyderabad,3441992
579,TG,Telangana,TG_Jagtial,Jagtial,983414
580,TG,Telangana,TG_Jangaon,Jangaon,582457
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,712257
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,664971
583,TG,Telangana,TG_Kamareddy,Kamareddy,972625
584,TG,Telangana,TG_Karimnagar,Karimnagar,1016063
585,TG,Telangana,TG_Khammam,Khammam,1401639
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,515835
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,1318110
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,
589,TG,Telangana,TG_Mancherial,Mancherial,807037
590,TG,Telangana,TG_Medak,Medak,767428
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,2542203
592,TG,Telangana,TG_Mulugu,Mulugu,294671
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,893308
594,TG,Telangana,TG_Nalgonda,Nalgonda,1631399
595,TG,Telangana,TG_Narayanpet,Narayanpet,566874
596,TG,Telangana,TG_Nirmal,Nirmal,709415
597,TG,Telangana,TG_Nizamabad,Nizamabad,1534428
598,TG,Telangana,TG_Peddapalli,Peddapalli,795332
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,546121
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,2551731
601,TG,Telangana,TG_Sangareddy,Sangareddy,1527628
602,TG,Telangana,TG_Siddipet,Siddipet,993376
603,TG,Telangana,TG_Suryapet,Suryapet,1099560
604,TG,Telangana,TG_Vikarabad,Vikarabad,881250
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,751553
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,716457
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,1135707
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,726465
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,752481
545,TN,Tamil Nadu,TN_Chennai,Chennai,7100000
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,3472578
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,2600880
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,1502900
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,2161367
550,TN,Tamil Nadu,TN_Erode,Erode,2259608
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,1166401
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,1863178
553,TN,Tamil Nadu,TN_Karur,Karur,1076588
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,1883731
555,TN,Tamil Nadu,TN_Madurai,Madurai,3991038
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,1614069
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,1721179
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,564511
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,1918725
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,1337560
561,TN,Tamil Nadu,TN_Salem,Salem,3480008
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,1341250
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,2402781
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,735071
565,TN,Tamil Nadu,TN_Theni,Theni,1243684
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,3725697
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,1268094
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,1738376
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,2713858
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,1665253
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,2471222
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,2468965
573,TN,Tamil Nadu,TN_Vellore,Vellore,1614242
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,2093003
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,1943309
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,1407627
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,2556244
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,1210277
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,1370281
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,1111812
736,TN,Tamil Nadu,TN_Mayiladuthurai,Mayiladuthurai,901000
609,TR,Tripura,TR_Dhalai,Dhalai,377988
610,TR,Tripura,TR_Gomati,Gomati,436868
611,TR,Tripura,TR_Khowai,Khowai,327391
612,TR,Tripura,TR_North Tripura,North Tripura,415946
613,TR,Tripura,TR_Sipahijala,Sipahijala,484233
614,TR,Tripura,TR_South Tripura,South Tripura,433737
615,TR,Tripura,TR_Unokoti,Unokoti,277335
616,TR,Tripura,TR_West Tripura,West Tripura,917534
617,UP,Uttar Pradesh,UP_Agra,Agra,4380793
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,3673849
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,2398709
620,UP,Uttar Pradesh,UP_Amethi,Amethi,2549935
621,UP,Uttar Pradesh,UP_Amroha,Amroha,1838771
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,1372287
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,4616509
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,1302156
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,2384239
626,UP,Uttar Pradesh,UP_Ballia,Ballia,3223642
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,2149066
628,UP,Uttar Pradesh,UP_Banda,Banda,1799541
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,3257983
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,4465344
631,UP,Uttar Pradesh,UP_Basti,Basti,2461056
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,1554203
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,3683896
634,UP,Uttar Pradesh,UP_Budaun,Budaun,3712738
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,3498507
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,1952713
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,990626
638,UP,Uttar Pradesh,UP_Deoria,Deoria,3098637
639,UP,Uttar Pradesh,UP_Etah,Etah,1761152
640,UP,Uttar Pradesh,UP_Etawah,Etawah,1579160
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,1887577
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,2632684
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,2496761
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,1674714
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,4661452
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,3622727
648,UP,Uttar Pradesh,UP_Gonda,Gonda,3431386
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,4436275
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,1104021
651,UP,Uttar Pradesh,UP_Hapur,Hapur,1338211
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,4091380
653,UP,Uttar Pradesh,UP_Hathras,Hathras,1565678
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,1670718
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,4476072
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,2000755
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,1658005
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,1795092
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,4572951
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,1438156
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,1596909
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,4013634
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,3560830
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,1218002
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,4588455
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,876055
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,2665292
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,1847194
669,UP,Uttar Pradesh,UP_Mathura,Mathura,2541894
670,UP,Uttar Pradesh,UP_Mau,Mau,2205170
671,UP,Uttar Pradesh,UP_Meerut,Meerut,3447405
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,2494533
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,4773138
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,4138605
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,2037225
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,3173752
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,5959798
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,3404004
679,UP,Uttar Pradesh,UP_Rampur,Rampur,2335398
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,3464228
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,2217020
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,1714300
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,3002376
684,UP,Uttar Pradesh,UP_Shamli,Shamli,1274815
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,1114615
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,2553526
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,4474446
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,1862612
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,3790922
690,UP,Uttar Pradesh,UP_Unnao,Unnao,3110595
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,3682194
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,2468371
692,UT,Uttarakhand,UT_Almora,Almora,621927
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,259840
694,UT,Uttarakhand,UT_Chamoli,Chamoli,391114
695,UT,Uttarakhand,UT_Champawat,Champawat,259315
696,UT,Uttarakhand,UT_Dehradun,Dehradun,1698560
697,UT,Uttarakhand,UT_Haridwar,Haridwar,1927029
698,UT,Uttarakhand,UT_Nainital,Nainital,955128
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,686527
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,485993
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,236857
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,616409
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,1648367
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,329686
705,WB,West Bengal,WB_Alipurduar,Alipurduar,1700000
706,WB,West Bengal,WB_Bankura,Bankura,3596292
707,WB,West Bengal,WB_Birbhum,Birbhum,3502387
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,2822780
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,1670931
710,WB,West Bengal,WB_Darjeeling,Darjeeling,1842034
711,WB,West Bengal,WB_Hooghly,Hooghly,5520389
712,WB,West Bengal,WB_Howrah,Howrah,4841638
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,3869675
714,WB,West Bengal,WB_Jhargram,Jhargram,1136548
715,WB,West Bengal,WB_Kalimpong,Kalimpong,251642
716,WB,West Bengal,WB_Kolkata,Kolkata,4486679
717,WB,West Bengal,WB_Malda,Malda,3997970
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,5094238
719,WB,West Bengal,WB_Murshidabad,Murshidabad,7102430
720,WB,West Bengal,WB_Nadia,Nadia,5168488
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,10082852
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,2882031
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,4835532
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,4417377
725,WB,West Bengal,WB_Purulia,Purulia,2927965
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,8153176
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,3000849